"Geo Code","Geo Name","Line Number"
"2021A00053558019","Conmee",1228679
"2021A00053558028","Shuniah",1231310
"2021A00053558034","Dorion",1233941
"2021A00053558041","Red Rock",1236572
"2021A00053558044","Nipigon",1239203
"2021A00053558051","Schreiber",1241834
"2021A00053558054","Terrace Bay",1244465
"2021A00053558059","Marathon",1247096
"2021A00053558060","Pic Mobert North",1249727
"2021A00053558061","Pic Mobert South",1252358
"2021A00053558062","Pic River 50",1254989
"2021A00053558063","Pays Plat 51",1257620
"2021A00053558064","Lake Helen 53A",1260251
"2021A00053558065","Gull River 55",1262882
"2021A00053558066","Manitouwadge",1265513
"2021A00053558067","Ginoogaming First Nation",1268144
"2021A00053558068","Long Lake 58",1270775
"2021A00053558069","Rocky Bay 1",1273406
"2021A00053558074","Sand Point First Nation",1276037
"2021A00053558075","Greenstone",1278668
"2021A00053558076","Aroland",1281299
"2021A00053558077","Lake Nipigon",1283930
"2021A00053558080","Ojibway Nation of Saugeen (Savant Lake)",1286561
"2021A00053558085","Osnaburgh 63A",1289192
"2021A00053558090","Thunder Bay, Unorganized",1291823
"2021A00053558092","Red Rock 53",1294454
"2021A00053558097","Whitesand",1297085
"2021A00053558100","Lac des Mille Lacs 22A1",1299716
"2021A00053559001","Atikokan",1302347
"2021A00053559011","Alberton",1304978
"2021A00053559012","Fort Frances",1307609
"2021A00053559016","La Vallee",1310240
"2021A00053559019","Emo",1312871
"2021A00053559024","Chapple",1315502
"2021A00053559026","Manitou Rapids 11",1318133
"2021A00053559031","Morley",1320764
"2021A00053559040","Dawson",1323395
"2021A00053559042","Rainy River",1326026
"2021A00053559046","Assabaska",1328657
"2021A00053559047","Lake of the Woods",1331288
"2021A00053559051","Big Grassy River 35G",1333919
"2021A00053559052","Big Island Mainland 93",1336550
"2021A00053559053","Saug-A-Gaw-Sing 1",1339181
"2021A00053559060","Neguaguon Lake 25D",1341812
"2021A00053559061","Rainy Lake 18C",1344443
"2021A00053559062","Agency 1",1347074
"2021A00053559063","Couchiching 16A",1349705
"2021A00053559064","Rainy Lake 26A",1352336
"2021A00053559066","Seine River 23A",1354967
"2021A00053559068","Rainy Lake 17A",1357598
"2021A00053559069","Rainy Lake 17B",1360229
"2021A00053559089","Sturgeon Falls 23",1362860
"2021A00053559090","Rainy River, Unorganized",1365491
"2021A00053560001","Ignace",1368122
"2021A00053560004","Whitefish Bay 32A",1370753
"2021A00053560005","Whitefish Bay 33A",1373384
"2021A00053560008","Sioux Narrows-Nestor Falls",1376015
"2021A00053560010","Kenora",1378646
"2021A00053560021","Machin",1381277
"2021A00053560024","Eagle Lake 27",1383908
"2021A00053560027","Dryden",1386539
"2021A00053560032","Ear Falls",1389170
"2021A00053560034","Sioux Lookout",1391801
"2021A00053560042","Red Lake",1394432
"2021A00053560046","Slate Falls",1397063
"2021A00053560049","Pickle Lake",1399694
"2021A00053560050","Fort Albany (Part) 67",1402325
"2021A00053560051","Attawapiskat 91A",1404956
"2021A00053560052","Marten Falls 65",1407587
"2021A00053560053","Fort Hope 64",1410218
"2021A00053560054","Cat Lake 63C",1412849
"2021A00053560055","Osnaburgh 63B",1415480
"2021A00053560056","Lac Seul 28",1418111
"2021A00053560057","Wabigoon Lake 27",1420742
"2021A00053560058","English River 21",1423373
"2021A00053560059","Weagamow Lake 87",1426004
"2021A00053560060","Northwest Angle 33B",1428635
"2021A00053560061","Wabaseemoong",1431266
"2021A00053560063","Sabaskong Bay 35D",1433897
"2021A00053560064","Shoal Lake 34B2",1436528
"2021A00053560065","Lake of the Woods 37",1439159
"2021A00053560066","Kenora 38B",1441790
"2021A00053560067","Poplar Hill",1444421
"2021A00053560068","Shoal Lake 39A",1447052
"2021A00053560069","Rat Portage 38A",1449683
"2021A00053560070","Deer Lake",1452314
"2021A00053560071","Sandy Lake 88",1454945
"2021A00053560075","Kitchenuhmaykoosib Aaki 84",1457576
"2021A00053560076","Sachigo Lake 1",1460207
"2021A00053560077","Pikangikum 14",1462838
"2021A00053560078","Fort Severn 89",1465469
"2021A00053560079","Webequie",1468100
"2021A00053560080","North Spirit Lake",1470731
"2021A00053560081","Lansdowne House",1473362
"2021A00053560082","Shoal Lake (Part) 40",1475993
"2021A00053560083","Whitefish Bay 34A",1478624
"2021A00053560084","Wabauskang 21",1481255
